"No","User Name","Review Count","Review Time","Rating","Review Text"
"946.","Ram Dan","151","2022-01-20","2","Tidak seperti d hotel yg lain, saya meminta tiket parkir, saya harus menghubungi bellboy, d hotel lain saya hanya menyebutkan no kendaraan saya kepada receptionist."
"947.","Ayas Naura","34","2019-01-20","2","Ribet parkirnya kl kita parkir di lantai 3 kamar kita di lantai 3 maka kita harus turun dl ke lobi trus muter lumayan jauh ke lift utama baru naik ke lantai 3"
"948.","Ilham Penta","307","2017-01-20","2","Rasa Masakan kurang oke. Servis tidak seperti aston yg di jakarta. Kurangnya interaksi karyawan dgn tamu"
"949.","bhaskara surono","2","2019-01-20","2","Kamar OK. Breakfast khususnya omelete masih terdapat kulit telur."
"950.","Masjhudi Masjhudi","1","2022-01-20","2","Parkir tdk ada yg ngatur akibatnya yg datang lebih dahulu sulit dan bahkan tdk bs keluar."
"951.","Suryadi abdurhmn Nurfth","13","2025-01-20","2","Biasa parkir mahal sampai 20 rebu permotor"
"952.","Fadel Hamzah","6","2023-01-20","2","Breakfastny amat sangat mediocore bahkan dibawahny utk tarif yg lumayan ini"
"953.","Anwar Sahid","46","2025-01-20","2","Parkir nya suka dilamain jadi 3 Menit harus bayar"
"954.","hasrizal","1013","2017-01-20","2","tempat yang enak untuk memginap. hanya kilam renang nya kurang seru"
"955.","Mamansupriatman Supriatman","2","2023-01-20","2","Pelayanan nya sangat memuaskan satpam nya ramah ."
"956.","henry husen","37","2021-01-20","2","Biasa bgt makanan nya, kebersihan kurang..."
"957.","Ronny Cahyono","141","2019-01-20","2","Menu paket buka puasa nya kurang enak..."
"958.","Ahmad Riki","20","2023-01-20","2","Scuriti nya songong,. Nanya baik Jawab nya bikin gak enak hatiii"
"959.","Powpow","47","2021-01-20","2","Lebi enak waktu Aston dulu deh perasaan hehe"
"960.","Iman Saputro","2","2021-01-20","2","Parkir pengunjung kok bayar ya"
"961.","Suwondo Lega","1","2018-01-20","2","Sangat Yaman dan indah bersih"
"962.","Rofiq Sugrawidjaya","72","2021-01-20","2","Lumayan bikin betah"
"963.","afiaty Afiaty","4","2019-01-20","2","basement dan liftnya ribet"
"964.","Ine Paulina","1","2018-01-20","2","Tdk ada yg tdk di sukai"
"965.","Akhmad Fuad","5","2021-01-20","2","ya gt deh"
"966.","arac15528","37","2020-01-20","2","Susah pintu masuk motor"
"967.","Sepwindi Kusuma","104","2023-01-20","2","Parkir mahal"
"968.","arief junaidi","5","2024-01-20","2","Oke"
"969.","Saiful Juhri","6","2021-01-20","2","biasa saja,,"
"970.","Agus Sainjati","159","2020-01-20","2","standar"
"971.","Apep Sudari","100","2018-01-20","2","Duh belum kesini"
"972.","Enon Yani","2","2026-01-19","2","Saya dari warga hajiyasin tolong jika menyalakan musik itu jangan keterlaluan kalo sudah malam saya mewakilkan semua warga h. Yasin yg berada di belakang benteng nya holiday inn merasa terganggu sampe jendela, tembok ikut bergetar semua Banyak orang, tua yang sakit keras di sini butuh istirahat . Ini bukan sekali 2x tapi dari tahun ke tahun selalu seperti ini"
"973.","Gilly gietelink","13","2025-11-20","2","Interaksi staf dengan tamu buruk, kebersihannya juga sangat mengecewakan, makanannya buruk, dan stafnya agresif. Hanya beberapa yang benar-benar ramah, sementara sisanya berpura-pura dan hanya ingin mempersilakan tamu masuk, bukan memastikan tamu benar-benar menginap. Intinya, sungguh buruk! Di akhir masa inap, kami bahkan menerima panggilan telepon untuk check-out, meskipun itu jauh sebelum waktu check-out. Keluarga saya di kamar lain telah mematikan Wi-Fi mereka satu jam sebelum waktu check-out agar kami lebih cepat. Pada hari keberangkatan kami, sepertinya semua orang disuruh untuk tidak berbicara dengan mereka karena mereka akan pergi. Mereka sama sekali tidak mau menghubungi kami atau berusaha. Selain itu, saya dan keluarga harus kembali ke meja resepsionis dari kamar kami lebih dari 15 kali sehari hanya karena kartu kunci kami terus terputus! Kami juga sering harus mengatur ulang Wi-Fi, dan kami sering kali terhubung tanpa sadar karena Wi-Fi tiba-tiba berhenti berfungsi. Intinya, ini bukan pengalaman yang baik."
