"No","User Name","Review Count","Review Time","Rating","Review Text"
"72.","Muthia Rayasha","7","2025-07-05","5","pelayanannya okeee bgttt, mas mbanya ramah hihi, kamarnya bagus dengan view jalan utama, lokasi strategis deket simpang lima, recommended bintang seribu"
"73.","Poetra Brida","33","2025-11-05","5","Pasti nginep disini kalau lagi di Semarang, cukup nyaman hotel nya,kamar luas, dekat dari simpang lima Dan ada valley untuk parkir mobil nya."
"74.","yohanes endo","73","2025-07-05","5","Hotelnya bagus, dekat sekali ke simpanglima bisa jalan kaki, kalau pas CFD mobil gak bisa keluar hotel sampai jam 09.00, tapi bisa dimanfaatkan utk ikut olahraga CFD. Parkir sangat terbatas, tapi bapak² security sangat aktif membantu memarkirkan kendaraan jadi sangat terbantu. Sarapan menurut saya biasa saja, tapi kembali ke selera masing². Overall harga berbanding lurus dengan yg kita dapat."
"75.","Rengga Oktraviana","6","2025-12-29","5","Semua Pelayanan Hotel ini sangat bagus sekali, sangat puas sekali"
"76.","Nina Muhamad Kadri","10","2025-12-05","5","Lokasi hotelnya ok karena di tengah kota, mau kemana-mana mudah dan cukup tenang"
"77.","Duhara","2","2025-10-05","5","Hotel langganan yang sangat super mantabs. Staff Ramah. Bersih. Wangi. Makanan enak2. Varian banyak. Terimakasih untuk Mas Triyan. Untuk pelayananya."
"78.","Sugeng Nugroho","2","2025-10-05","5","Pertama menginap di Holiday Inn Express Smg, lokasinya strategis, dekat pusat kota. Pelayanan Ok, rooms juga Ok, ada karpetnya. Sarapan lumayan."
"79.","Fitriyanto Rizki Anjasmoro","3","2025-11-05","5","Untuk tempatnya ini hotel nya cukup baik, dari kamarnya juga bersih, modern, dan rapih bersih. Makanan juga enak untuk breakfastnya."
"80.","Ineke Adiwafi","5","2025-12-29","5","Bagus lokasi strategis, kamar bersih, makanan enak"
"81.","Olivia Fatrin","57","2025-08-05","3","Sering banget kalo ke semarang nginep sini tapi kayaknya baru kali ini bantalnya bau, sampe di alasin syal biar bs nempelin kepala di bantal, handuk berwarna abu dan kotor. Lokasi strategis dan sarapannya enak. Semoga kedepan kebersihannya diperbaiki jangan bau. Parkiran terbatas jadi mesti vallet tapi kalo nunggu mobilnya di ambilin astaga lama bethh orang vallet cm 1 kali ya ga sesuai nama hotel express 🥲"
"82.","ahmad caputra","2","2025-12-05","5","Kamar bersih dan rapi. Pelayanan bagus dan lokasi strategis dekat dengan simpang lima"
"83.","Queenarra Zaynn Amourta","4","2025-12-05","5","bagus hotelnya saya suka, sarapannya juga enak2, service nya baik."
"84.","Dewi Gusmara","1","2025-10-05","5","Hotel nya bagus. Bersih. Petugas nya ramah2. Semoga tetap di pertahanan. Sarapan pagi nya lumayan enak dan komplit"
"85.","fryta ameilia","3","2025-11-05","5","Kamarnya cukup luas, kamarnya nyaman, bersih dan sarapannya lumayan laah"
"86.","Afifah","1","2025-09-05","5","salah satu pilihan untuk menginap di Semarang, letaknya strategis berada di tengah kota, untuk sarapannya juga cukup enak"
"87.","Ivayana C Wichayanti","1","2025-12-29","5","Breakfast nya enak, kamarnya bersih dan toiletressnya lengkap"
"88.","danny yuda","3","2025-11-05","5","Kamar ok, nyaman, bersih, pelayanan okay, variasi makanan perlu ditambah"
"89.","Litle Rizky","6","2025-11-05","5","Jadi tempat andalan kalo ke Semarang, tempatnya startegis. Kemama mana deket. Kamar bersih makananya juga enak enak. Mantap lah👍👍👍"
"90.","Yudi Fadilah","2","2025-11-05","5","Pelayanan memuaskan, utk makanan usul dirambah variasinya. Over all bagus"
"91.","diana amalia","6","2025-12-15","5","Sarapannya enak smua, staff restonya helpfull dan ramah.. @kak Naida"
"92.","Iin Indhah","260","2025-08-05","5","Hotelnya di pusat kota dekat dengan simpang lima (± jalan kaki 2 menit sampai), reservasi kamar yang best view tipe glass room (diusahakan reservasi dulu ya untuk kamar tipe ini), kamar cukup luas, yang terutama bersihhhh banget, meskipun alas pakai karpet tapi tidak berdebu, kamar mandi bersih banget sampai ke sudut², lengkap dengan fasilitas hair dryer, tv besar, sofa dan meja kerja di sudut ruangan mengahadap view kota Semarang, sarapan lumayan enak, semua pegawai ramah, meskipun jam check in sedikit melebihi jam yang seharusnya (baru bisa check in sekitar ± jam 14.32 WIB, dikarenakan kamar baru dibersihkan) tapi terbayarkan dengan kamar yang worth it, kekurangan hanya di area parkir yang cukup sempit (basement), ketika masuk masih oke, tapi untuk keluar agak susah bermanuver terutama untuk mobil ukuran besar, tapi tenang ada security yang selalu ready membantu, jika parkir penuh ada fasilitas vallet juga, over all buat yang pengen staycation di Semarang hotel ini salah satu yang recommended.♥️"
"93.","Lutfiah I S","2","2025-12-05","5","Kamar hotelnya nyaman dan tenang, sambutannya jg ramah... Rokomended"
"94.","Jessica Elsha","8","2025-07-05","5","Hotel bintang 3 tapi kualitas kamar sih ini mirip bintang 5 ya 😍 kamar bersih, karpet full, smart tv, sofa nyaman, bedcover dan bantalnya lembut , bed-nya nyaman banget. Service-nya excellent. Minus parkiran dan sarapannya. Yang lain very very good 😊"
"95.","Wulan ega Lazipra","2","2025-12-15","5","keseluruhan sudah oke, better menu breakfast lebih bervariasi.."
"96.","Liskania Dewi","2","2025-07-05","5","Trolly di pintu hotel sgt membantu, di kamar sebaiknya ada hand-body lotion,dan croisant kalo hangat /panas lebih ok dan ada tahu petis /lumpia. Makanan khas Semarang. Secara keseluruhan ok banget dgn hotel ini. Akan dipertimbangkan untuk kesini kalo pas mudik Semarang."
"97.","Dewi Fortuna","40","2025-12-29","5","Stay cation bersama keluarga mendarat ke Hotel and room conection,dkt dengan Simpang lima."
"98.","Shafira Yaumil Asiffa","3","2025-09-05","5","nyaman banget disini. servicenya oke bgt. boleh bungkus croissant dan infused water. menu breakfastnya juga ngga ada yang failed. worth to try nginep disini gaaess"
"99.","wann kamajaya","8","2025-07-05","5","Pengalaman yg mengesankan,,ac kamar dingin,,,pencahayaan terang,,.kamar dan toilet bersih,,,makanan yg lumayan enak serta staff dan karyawan yg ramah,,next time bakal balik lagi kesini"
"100.","ANGGA HIDDEN","126","2025-12-05","5","Tempat berada dipusat kota semarang, sangat nyaman, suasana enak, makanan mantab."
"101.","Rereen:D","1","2025-08-05","5","kamarnya rapi, fasilitas baik, hal-hal yang diperlukan selama menetap dihotel lengkap. Breakfastnya juga cukup enakkk"
"102.","yuddy keris","2","2025-10-05","5","secara umum bagus ... menu sarapan masih kurang variatif ... slice buah hanya 2 macam"
"103.","48_Shinta Aulia","2","2025-12-05","1","Untuk kamarnya harus lebih teliti lagi untuk membersihkan kamarnya supaya tidak ada muncul serangga"
"104.","Anang Maulana","400","2025-05-05","4","Rekomendasi Hotel di kawasan strategis simpang Lima Semarang. Minusnya parkir susah banget walaupun ada valet. Selain itu jalan nya satu arah ke arah Simpang lima, bagi yang bukan orang Semarang mungkin agak kesulitan akses. Kamar bersih pelayanan ramah. Tersedia self service Laundry harganya 55K beli di resepsionis."
"105.","Amalia Kartika","13","2025-11-05","5","saluran kamar penguapan bau jdinya.. kalo makanna enak hanya ga bervariasi saja."
"106.","mona tririzki","3","2025-07-05","5","Tempat strategis, kamar bersih dan nyaman. Breakfast enak... Tp mungkin perlu ditambah variasinya"
"107.","kireiina tha","2","2025-06-05","5","Pengalaman yang menyenangkan menginap disini, ini salah satu hotel yang aku pasti rekomendasikan kalau ke Semarang. Makanan enak, kopinya paling aku suka. Tersedia laundry room 24 jam. Ini sangat membantu sekali. 3 malam menginap disini, puas sekali. Dekat pusat kota Semarang. Tinggal jalan ke Simpang Lima. Dari lantai 16 view nya bagus sekali. Kamar nyaman."
"108.","Wina K","18","2025-06-05","4","Room yang non smoking cukup wangi dan bersih, untuk yang smoking itu dari aisle sudah bau rokok dan kamar smoking nya jendela tertutup. Mungkin saran yang smoking, ditambahkan pewangi di area aisle. Makanan cukup enak dan variatif"
"109.","Mikael Nayotama (1032_Mikael Nayotama)","6","2025-11-05","5","sudah oke pelayanan baik, sayangnya ruangan agar masuk air hujan sedikit"
